subject,opponent,seed,num_rounds,first_round,last_round,per_c,per_C,per_cC,per_cD,per_dC,per_dD,avg_score,avg_net_score
TIFT,TIFT,0,200,1,200,1.0,1.0,0.995,0.0,0.0,0.0,3.0,0.0
TIFT,TIFT,1,200,1,200,1.0,1.0,0.995,0.0,0.0,0.0,3.0,0.0
TIFT,TIFT,2,200,1,200,1.0,1.0,0.995,0.0,0.0,0.0,3.0,0.0
TIFT,TIFT,3,200,1,200,1.0,1.0,0.995,0.0,0.0,0.0,3.0,0.0
TIFT,TIFT,4,200,1,200,1.0,1.0,0.995,0.0,0.0,0.0,3.0,0.0
TIFT,TIFTxx,0,200,1,200,1.0,1.0,0.995,0.0,0.0,0.0,3.0,0.0
TIFT,TIFTxx,1,200,1,200,1.0,1.0,0.995,0.0,0.0,0.0,3.0,0.0
TIFT,TIFTxx,2,200,1,200,1.0,1.0,0.995,0.0,0.0,0.0,3.0,0.0
TIFT,TIFTxx,3,200,1,200,1.0,1.0,0.995,0.0,0.0,0.0,3.0,0.0
TIFT,TIFTxx,4,200,1,200,1.0,1.0,0.995,0.0,0.0,0.0,3.0,0.0
TIFT,FACE,0,200,1,200,1.0,1.0,0.995,0.0,0.0,0.0,3.0,0.0
TIFT,FACE,1,200,1,200,1.0,1.0,0.995,0.0,0.0,0.0,3.0,0.0
TIFT,FACE,2,200,1,200,1.0,1.0,0.995,0.0,0.0,0.0,3.0,0.0
TIFT,FACE,3,200,1,200,1.0,1.0,0.995,0.0,0.0,0.0,3.0,0.0
TIFT,FACE,4,200,1,200,1.0,1.0,0.995,0.0,0.0,0.0,3.0,0.0
TIFT,TIFTcx,0,200,1,200,1.0,1.0,0.995,0.0,0.0,0.0,3.0,0.0
TIFT,TIFTcx,1,200,1,200,1.0,1.0,0.995,0.0,0.0,0.0,3.0,0.0
TIFT,TIFTcx,2,200,1,200,1.0,1.0,0.995,0.0,0.0,0.0,3.0,0.0
TIFT,TIFTcx,3,200,1,200,1.0,1.0,0.995,0.0,0.0,0.0,3.0,0.0
TIFT,TIFTcx,4,200,1,200,1.0,1.0,0.995,0.0,0.0,0.0,3.0,0.0
TIFT,TFTT,0,200,1,200,1.0,1.0,0.995,0.0,0.0,0.0,3.0,0.0
TIFT,TFTT,1,200,1,200,1.0,1.0,0.995,0.0,0.0,0.0,3.0,0.0
TIFT,TFTT,2,200,1,200,1.0,1.0,0.995,0.0,0.0,0.0,3.0,0.0
TIFT,TFTT,3,200,1,200,1.0,1.0,0.995,0.0,0.0,0.0,3.0,0.0
TIFT,TFTT,4,200,1,200,1.0,1.0,0.995,0.0,0.0,0.0,3.0,0.0
TIFT,RAND,0,200,1,200,0.5226130653266332,0.5778894472361809,0.315,0.205,0.26,0.215,2.3768844221105527,-0.02512562814070352
TIFT,RAND,1,200,1,200,0.507537688442211,0.457286432160804,0.235,0.27,0.22,0.27,2.14070351758794,-0.02512562814070352
TIFT,RAND,2,200,1,200,0.5025125628140703,0.507537688442211,0.22,0.28,0.285,0.21,2.2663316582914574,0.0
TIFT,RAND,3,200,1,200,0.4723618090452262,0.5025125628140703,0.24,0.23,0.26,0.265,2.221105527638191,0.0
TIFT,RAND,4,200,1,200,0.46733668341708545,0.5175879396984925,0.255,0.21,0.26,0.27,2.2763819095477387,-0.02512562814070352
TIFT,RANDcx,0,200,1,200,1.0,0.5778894472361809,0.575,0.42,0.0,0.0,2.386934673366834,-0.02512562814070352
TIFT,RANDcx,1,200,1,200,1.0,0.46733668341708545,0.465,0.53,0.0,0.0,2.190954773869347,0.0
TIFT,RANDcx,2,200,1,200,1.0,0.4824120603015075,0.48,0.515,0.0,0.0,2.271356783919598,0.0
TIFT,RANDcx,3,200,1,200,1.0,0.48743718592964824,0.485,0.51,0.0,0.0,2.185929648241206,-0.02512562814070352
TIFT,RANDcx,4,200,1,200,1.0,0.5226130653266332,0.52,0.475,0.0,0.0,2.3115577889447234,0.0
